arch,subset,lkey,layer,probe_type,n_runs,balanced_accuracy_mean,selectivity_mean,control_balanced_accuracy_mean,raw_accuracy_mean,majority_baseline_mean,balanced_accuracy_std,selectivity_std,control_balanced_accuracy_std,raw_accuracy_std,majority_baseline_std,layer_index
feature_geometric,stemfinal_differ,1,enc1,linear,12,0.6887109589559186,0.09505501559402489,0.5936559433618936,0.688998902270438,0.6719931104766013,0.16687255562459954,0.13806427291569212,0.0919110409125941,0.17489428096687945,0.06706802074877764,
feature_geometric,stemfinal_differ,2,enc2,linear,12,0.7011347198948005,0.18343056481555528,0.5177041550792453,0.6964608643509081,0.6719931104766013,0.1697653345436568,0.16766518451516796,0.05966076653019881,0.1742721819710259,0.06706802074877764,
feature_geometric,stemfinal_differ,3,enc3,linear,12,0.7295630076688545,0.18309138689082652,0.5464716207780279,0.7273643474273498,0.6719931104766013,0.18400078881483786,0.21633247704817013,0.07072487164842639,0.179656291511249,0.06706802074877764,
feature_geometric,stemfinal_differ,100,dec0,linear,12,0.7028396362821766,0.1495029624412851,0.5533366738408915,0.6927792103339986,0.6719931104766013,0.17385774087831032,0.1754998844572356,0.04096257077114043,0.1664060127059466,0.06706802074877764,
feature_geometric,stemfinal_differ,101,dec1,linear,12,0.7457681117046037,0.2880311235511281,0.4577369881534754,0.7402833258031079,0.6719931104766013,0.18211878975713694,0.16668660353244477,0.08735046228113638,0.1718505698473743,0.06706802074877764,
feature_geometric,stemfinal_differ,102,dec2,linear,12,0.7273388624144673,0.22268172898752944,0.5046571334269377,0.7264473306356997,0.6719931104766013,0.13513744258003316,0.14847887383013686,0.04172868094958323,0.13798992447796649,0.06706802074877764,
feature_geometric,stemfinal_differ,103,dec3,linear,12,0.6924728186240282,0.15243582347371934,0.5400369951503089,0.6895633516784176,0.6719931104766013,0.13732637755359847,0.16112552946579248,0.056453171688413045,0.14741573846760186,0.06706802074877764,
feature_geometric,stemfinal_differ,0,enc0,mlp,12,0.672772351975981,0.20262000956819093,0.47015234240779,0.6701940094640455,0.6719931104766013,0.17536372374518353,0.13554373981845022,0.05659418297715265,0.21481933498519043,0.06706802074877764,
feature_geometric,stemfinal_differ,1,enc1,mlp,12,0.7074846622911138,0.23369265891389324,0.47379200337722055,0.705060872440749,0.6719931104766013,0.15656328575766357,0.16816606890308705,0.035128807573055906,0.18877150264918277,0.06706802074877764,
feature_geometric,stemfinal_differ,2,enc2,mlp,12,0.7392347641158126,0.22699058921238022,0.5122441749034323,0.7301902272611155,0.6719931104766013,0.16266643465598155,0.18675293634364434,0.03852650145097253,0.1757044574734984,0.06706802074877764,
feature_geometric,stemfinal_differ,3,enc3,mlp,12,0.7680003360215054,0.3070598666689885,0.4609404693525168,0.7585674375250969,0.6719931104766013,0.17169528558968064,0.18677092455102912,0.03909808846601517,0.1896116597913135,0.06706802074877764,
feature_geometric,stemfinal_differ,100,dec0,mlp,12,0.7373571937694922,0.22680930036939162,0.5105478934001005,0.7340057673484387,0.6719931104766013,0.19300178122865644,0.18690159765488296,0.018885878721961624,0.1936102078296956,0.06706802074877764,
feature_geometric,stemfinal_differ,101,dec1,mlp,12,0.8003408106603671,0.3148278589719461,0.48551295168842096,0.8016345256472003,0.6719931104766013,0.16619062013562286,0.16892711133612598,0.027269073995794254,0.1622210833961858,0.06706802074877764,
feature_geometric,stemfinal_differ,102,dec2,mlp,12,0.7601757770679142,0.2593954501344939,0.5007803269334202,0.7606885188284623,0.6719931104766013,0.14762261507801167,0.11135080264192629,0.08836246151596011,0.15321044384154908,0.06706802074877764,
feature_geometric,stemfinal_differ,103,dec3,mlp,12,0.6919348797110892,0.17386970396224385,0.5180651757488455,0.6859008975613062,0.6719931104766013,0.1423789679238694,0.20744870872363771,0.08289720682147621,0.1580604540947886,0.06706802074877764,
feature_geometric,stemfinal_same,0,enc0,linear,12,0.6013529279191352,0.1202004675817596,0.4811524603373756,0.8928156482545067,0.9664402502608033,0.14497920382295673,0.11204289708754823,0.047790596189824286,0.05689228064901403,0.006704415254260537,
feature_geometric,stemfinal_same,1,enc1,linear,12,0.6095237195495504,0.11714935067763667,0.4923743688719137,0.888694309278344,0.9664402502608033,0.1466472858390301,0.13314837728864254,0.028096229228642626,0.057440348992335875,0.006704415254260537,
feature_geometric,stemfinal_same,2,enc2,linear,12,0.6318877214451497,0.13392759738019863,0.4979601240649511,0.9004424056685939,0.9664402502608033,0.15778046309428856,0.16351210305135921,0.015049304231713244,0.048285873431920076,0.006704415254260537,
feature_geometric,stemfinal_same,3,enc3,linear,12,0.6844417443576422,0.18515945588321162,0.4992822884744305,0.9337674017361772,0.9664402502608033,0.11941468741204482,0.1243648422001968,0.020052330358826243,0.02702578714136738,0.006704415254260537,
feature_geometric,stemfinal_same,100,dec0,linear,12,0.6149540797862302,0.11687834564702254,0.4980757341392077,0.9167906055471176,0.9664402502608033,0.14987403321358547,0.1743031318088107,0.032426173825669063,0.05402068165247292,0.006704415254260537,
feature_geometric,stemfinal_same,101,dec1,linear,12,0.6621713463172573,0.16452813791407975,0.4976432084031775,0.9350311822809546,0.9664402502608033,0.14602862682957843,0.16185576014293243,0.023307896264695004,0.04577359383427792,0.006704415254260537,
feature_geometric,stemfinal_same,102,dec2,linear,12,0.6660005974087673,0.1804350578814583,0.4855655395273089,0.9323403295970766,0.9664402502608033,0.15376308938769637,0.1444816845415209,0.0297566416466726,0.033886197796921466,0.006704415254260537,
feature_geometric,stemfinal_same,103,dec3,linear,12,0.6260134274631779,0.11751891033671773,0.5084945171264602,0.8975457169697066,0.9664402502608033,0.15167484245870735,0.1757570076648543,0.03406907353160297,0.05282114723897098,0.006704415254260537,
feature_geometric,stemfinal_same,0,enc0,mlp,12,0.5947780710078252,0.08289389340586938,0.5118841776019558,0.9037453283011739,0.9664402502608033,0.1421334037026048,0.133698753711041,0.024365859759159513,0.03168821685514993,0.006704415254260537,
